"Path ID","Unique ID","Rule ID","Left","Right"
"21","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"21","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"21","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"22","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"22","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"22","TRS_0_2_0_0","RR-02-3f38de5a2a0b77f2-16-F","1.MNXM23:1.MNXM729302","1.CMPD_0000000017"
"22","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"22","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"22","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"23","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"23","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"23","TRS_0_2_0_0","RR-02-3f38de5a2a0b77f2-16-F","1.MNXM23:1.MNXM729302","1.CMPD_0000000017"
"23","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"23","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"23","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"24","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"24","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"24","TRS_0_2_13_0","RR-02-a077e8fd4bcd9530-16-F","1.MNXM319","1.CMPD_0000000017"
"24","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"24","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"24","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"25","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"25","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"25","TRS_0_2_13_0","RR-02-a077e8fd4bcd9530-16-F","1.MNXM319","1.CMPD_0000000017"
"25","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"25","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"25","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"26","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"26","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"26","TRS_0_2_14_0","RR-02-fedaa5105ee8d246-16-F","1.MNXM927","1.CMPD_0000000017"
"26","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"26","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"26","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"27","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"27","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"27","TRS_0_2_14_0","RR-02-fedaa5105ee8d246-16-F","1.MNXM927","1.CMPD_0000000017"
"27","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"27","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"27","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"28","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"28","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"28","TRS_0_2_15_0","RR-02-6f706f932a7be63d-16-F","1.MNXM2112","1.CMPD_0000000017"
"28","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"28","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"28","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"29","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"29","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"29","TRS_0_2_15_0","RR-02-6f706f932a7be63d-16-F","1.MNXM2112","1.CMPD_0000000017"
"29","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
